,0
700,3060806908
701,3180139761
702,3050928420
703,3050157026
704,3140308090
705,3062820761
706,3050485654
707,3141449869
708,3142646400
709,3141205547
710,3052563596
711,3148636473
712,3052211379
713,3054712328
714,3140824722
715,3141292061
716,3140780839
717,3052375588
718,3062823550
719,3142472127
720,3140455983
721,3053295626
722,5372500562
723,3142236506
724,1102275396
725,5541301049
726,3141103732
727,3052287369
728,3140935605
729,3140336596
730,2352800731
731,7182300793
732,3141558797
733,3050934086
734,3100276115
735,3601900506
736,3140739344
737,5864000742
738,3140698370
739,3070340035
740,3140721674
741,3052795942
742,3141528221
743,3141262719
744,3141837186
745,3052391268
746,3050396697
747,5060629152
748,3140185749
749,8032400690
750,2020617720
751,3053039504
752,3140501830
753,3142672626
754,3062918243
755,3140607016
756,3052048227
757,2164600210
758,3052357881
759,3062842843
760,3141295281
761,3060284692
762,3141120463
763,3062010817
764,3050246225
765,3052541888
766,7914500280
767,3141117992
768,3140409403
769,3141070781
770,3052787554
771,3062010331
772,8870401909
773,3142332657
774,3053066068
775,3052532996
776,3140190790
777,3141838638
778,3140227654
779,3050783360
780,3141219911
781,3062825126
782,3141735672
783,3052186679
784,3987200258
785,4314600217
786,1300236986
787,3053349788
788,8314500481
789,3140218456
790,3140935319
791,3062006778
792,3052192259
793,3051318818
794,3140634755
795,4314500637
796,3140407536
797,3053075854
798,1853000517
799,3050269456
800,5640201924
801,3052082128
802,3050654515
803,8536100346
804,2089516515
805,6021615218
806,3141272589
807,3052379527
808,3060193535
809,6123400905
810,3052916655
811,3052682630
812,3141311162
813,3052178621
814,4030285857
815,8210401200
816,3053143873
817,5011550180
818,3141534363
819,3060160150
820,3180102658
821,3141296785
822,3141950793
823,3140804406
824,3148146020
825,3062009834
826,3051327184
827,3051015431
828,3052950288
829,1122785065
830,3051268382
831,7529300200
832,3063533740
833,3140253263
834,1180111902
835,3141402239
836,3052223098
837,3141313059
838,2677400263
839,3051930338
840,2041687390
841,3140527349
842,3052563034
843,3052989139
844,3050678628
845,1063553791
846,3060426342
847,3141004374
848,3140334792
849,3142124250
850,3063555948
851,3141388429
852,3140707779
853,6190801279
854,6285200622
855,7972001343
856,3141549866
857,3149019715
858,3590401438
859,7823400790
860,3064720286
861,3053093487
862,5261301554
863,3052896220
864,3052594707
865,3050742734
866,3051737808
867,3141838939
868,3052276635
869,2550701044
870,3063533449
871,3141838278
872,3140130133
873,3053342617
874,4560402058
875,3140358038
876,3140657175
877,5733000621
878,3141600273
879,3064702648
880,3141310348
881,5124700231
882,3141302019
883,3062015433
